Time (ms),%CPU,%MEM
0,0.0,1.8
500,13.3,1.8
1000,13.3,1.8
2000,6.6,1.8
2500,6.6,1.8
3000,6.6,1.8
4000,0.0,1.8
4500,0.0,1.8
5000,0.0,1.8
6000,0.0,1.8
6500,0.0,1.8
7000,0.0,1.8
8000,0.0,1.8
8500,0.0,1.8
9000,0.0,1.8
10000,0.0,1.8
10500,6.6,1.8
11000,6.6,1.8
11500,13.3,1.8
12000,13.3,1.8
13000,13.3,1.8
13500,0.0,1.8
14000,0.0,1.8
15000,0.0,1.8
15500,0.0,1.8
16000,0.0,1.8
17000,0.0,1.8
17500,0.0,1.8
18000,0.0,1.8
19000,0.0,1.8
19500,0.0,1.8
20000,19.9,1.8
21000,13.3,1.8
21500,13.3,1.8
22000,13.3,1.8
23000,13.3,1.8
23500,0.0,1.8
24000,0.0,1.8
25000,0.0,1.8
25500,0.0,1.8
26000,0.0,1.8
27000,0.0,1.8
27500,0.0,1.8
28000,0.0,1.8
29000,0.0,1.8
29500,0.0,1.8
30000,13.3,1.8
31000,6.6,1.8
31500,13.3,1.8
32000,0.0,1.8
33000,13.3,1.8
33500,6.6,1.8
34000,0.0,1.8
35000,0.0,1.8
35500,6.6,1.8
36000,0.0,1.8
37000,0.0,1.8
37500,0.0,1.8
38000,0.0,1.8
39000,0.0,1.8
39500,0.0,1.8
40000,13.3,1.8
41000,6.6,1.8
41500,0.0,1.8
42000,13.3,1.8
43000,19.9,1.8
43500,6.6,1.8
44000,0.0,1.8
44500,0.0,1.8
45000,0.0,1.8
46000,0.0,1.8
46500,0.0,1.8
47000,0.0,1.8
48000,0.0,1.8
48500,0.0,1.8
49000,0.0,1.8
50000,6.6,1.8
50500,6.6,1.8
51000,13.3,1.8
52000,13.3,1.8
52500,13.3,1.8
53000,19.9,1.8
54000,0.0,1.8
54500,0.0,1.8
55000,0.0,1.8
56000,0.0,1.8
56500,0.0,1.8
57000,0.0,1.8
58000,0.0,1.8
58500,0.0,1.8
59000,0.0,1.8
60000,0.0,1.8
60500,86.3,1.8
61000,6.6,1.8
62000,6.6,1.8
62500,66.4,1.8
63000,13.3,1.8
64000,0.0,1.8
64500,6.6,1.8
65000,0.0,1.8
66000,0.0,1.8
66500,6.6,1.8
67000,0.0,1.8
68000,0.0,1.8
68500,0.0,1.8
69000,0.0,1.8
70000,0.0,1.8
70500,6.6,1.8
71000,13.3,1.8
72000,13.3,1.8
72500,13.3,1.8
73000,13.3,1.8
73500,0.0,1.8
74000,0.0,1.8
75000,0.0,1.8
75500,0.0,1.8
76000,0.0,1.8
77000,0.0,1.8
77500,0.0,1.8
