Time (ms),%CPU,%MEM
0,19.9,6.8
1000,19.9,6.8
1500,26.5,6.8
2000,19.9,6.8
3000,26.5,6.8
3500,13.3,6.8
4000,26.5,6.8
5000,19.9,6.8
5500,19.9,6.8
6000,19.9,6.8
7000,26.6,6.8
7500,6.6,6.8
8000,13.3,6.8
9000,13.3,6.8
9500,13.3,6.8
10000,13.3,6.8
11000,19.9,6.8
11500,19.9,6.8
12000,19.9,6.8
13000,33.2,6.8
13500,19.9,6.8
14000,26.6,6.8
15000,6.6,6.8
15500,13.3,6.8
16000,26.6,6.8
17000,33.2,6.8
17500,19.9,6.8
18000,13.3,6.8
19000,19.9,6.8
19500,13.3,6.8
20000,19.9,6.8
20500,13.3,6.8
21000,19.9,6.8
22000,26.6,6.8
22500,26.6,6.8
23000,13.3,6.8
24000,13.3,6.8
24500,13.3,6.8
25000,13.3,6.8
26000,26.6,6.8
26500,19.9,6.8
27000,13.3,6.8
28000,6.6,6.8
28500,19.9,6.8
29000,6.6,6.8
30000,13.3,6.8
30500,13.3,6.8
31000,13.3,6.8
32000,13.3,6.8
32500,13.3,6.8
33000,19.9,6.8
34000,13.3,6.8
34500,26.6,6.8
35000,13.3,6.8
36000,13.3,6.8
36500,19.9,6.8
37000,13.3,6.8
38000,13.3,6.8
38500,13.3,6.8
39000,6.6,6.8
40000,13.3,6.8
40500,13.3,6.8
41000,6.6,6.8
42000,19.9,6.8
42500,19.9,6.8
43000,19.8,6.8
44000,6.6,6.8
44500,19.9,6.8
45000,13.3,6.8
46000,33.2,6.8
46500,19.9,6.8
47000,19.9,6.8
48000,19.9,6.8
48500,13.3,6.8
49000,0.0,6.8
49500,6.6,6.8
50000,19.9,6.8
51000,13.3,6.8
51500,6.6,6.8
52000,19.9,6.8
53000,13.3,6.8
53500,6.6,6.8
54000,19.9,6.8
55000,19.9,6.8
55500,26.6,6.8
56000,19.9,6.8
57000,33.2,6.8
57500,0.0,6.8
58000,13.3,6.8
59000,6.6,6.8
59500,6.6,6.8
60000,13.3,6.8
61000,19.9,6.8
61500,19.9,6.8
62000,19.9,6.8
63000,26.5,6.8
63500,0.0,6.8
64000,19.9,6.8
65000,13.3,6.8
65500,19.9,6.8
66000,19.9,6.8
67000,33.2,6.8
67500,66.4,6.8
68000,13.3,6.8
69000,19.9,6.8
69500,126.0,6.8
70000,13.3,6.8
71000,6.6,6.8
71500,126.2,6.8
72000,19.9,6.8
73000,26.6,6.8
73500,86.4,6.8
74000,13.3,6.8
