Time (ms),%CPU,%MEM
0,0.0,1.0
500,13.3,1.0
1000,6.6,1.0
2000,0.0,1.0
2500,0.0,1.0
3000,0.0,1.0
4000,0.0,1.0
4500,0.0,1.0
5000,13.3,1.0
6000,6.6,1.0
6500,6.6,1.0
7000,6.6,1.0
8000,6.6,1.0
8500,6.6,1.0
9000,6.6,1.0
10000,0.0,1.0
10500,0.0,1.0
11000,0.0,1.0
12000,0.0,1.0
12500,0.0,1.0
13000,0.0,1.0
14000,0.0,1.0
14500,0.0,1.0
15000,6.6,1.0
16000,6.6,1.0
16500,6.6,1.0
17000,0.0,1.0
18000,0.0,1.0
18500,13.3,1.0
19000,0.0,1.0
20000,6.6,1.0
20500,6.6,1.0
21000,6.6,1.0
22000,0.0,1.0
22500,0.0,1.0
23000,0.0,1.0
23500,0.0,1.0
24000,0.0,1.0
25000,13.3,1.0
25500,6.6,1.0
26000,0.0,1.0
27000,0.0,1.0
27500,13.3,1.0
28000,0.0,1.0
29000,0.0,1.0
29500,6.6,1.0
30000,0.0,1.0
31000,6.6,1.0
31500,0.0,1.0
32000,0.0,1.0
33000,0.0,1.0
33500,0.0,1.0
34000,0.0,1.0
35000,6.6,1.0
35500,6.6,1.0
36000,0.0,1.0
37000,6.6,1.0
37500,0.0,1.0
38000,0.0,1.0
39000,0.0,1.0
39500,6.6,1.0
40000,6.6,1.0
41000,0.0,1.0
41500,0.0,1.0
42000,0.0,1.0
43000,0.0,1.0
43500,0.0,1.0
44000,0.0,1.0
45000,0.0,1.0
45500,6.6,1.0
46000,0.0,1.0
47000,0.0,1.0
47500,6.6,1.0
48000,0.0,1.0
49000,0.0,1.0
49500,6.6,1.0
50000,6.6,1.0
51000,0.0,1.0
51500,6.6,1.0
52000,0.0,1.0
52500,0.0,1.0
53000,0.0,1.0
54000,0.0,1.0
54500,6.6,1.0
55000,13.3,1.0
56000,0.0,1.0
56500,0.0,1.0
57000,6.6,1.0
58000,0.0,1.0
58500,6.6,1.0
59000,6.6,1.0
60000,0.0,1.0
60500,0.0,1.0
61000,0.0,1.0
62000,0.0,1.0
62500,0.0,1.0
63000,0.0,1.0
64000,0.0,1.0
64500,0.0,1.0
65000,13.3,1.0
66000,0.0,1.0
66500,6.6,1.0
67000,0.0,1.0
68000,6.6,1.0
68500,6.6,1.0
69000,6.6,1.0
70000,6.6,1.0
70500,13.3,1.0
71000,6.6,1.0
72000,0.0,1.0
72500,13.3,1.0
73000,0.0,1.0
74000,0.0,1.0
74500,19.9,1.0
75000,6.6,1.0
76000,0.0,1.0
76500,6.6,1.0
77000,0.0,1.0
78000,6.6,1.0
78500,19.9,1.0
79000,6.6,1.0
79500,6.6,1.0
80000,0.0,1.0
81000,6.6,1.0
81500,0.0,1.0
82000,0.0,1.0
83000,0.0,1.0
83500,0.0,1.0
84000,0.0,1.0
85000,6.6,1.0
85500,0.0,1.0
86000,0.0,1.0
87000,0.0,1.0
87500,6.6,1.0
88000,0.0,1.0
89000,0.0,1.0
89500,6.6,1.0
90000,0.0,1.0
91000,13.3,1.0
